page_file,footnote_text,cluster_label,word_count
0109_the_land_of_the_perumauls_page_109.jpg,"* Repelim is known as Eddapully or Ellengaloor, and is in the Cochin State.",3,13
0359_the_land_of_the_perumauls_page_359.jpg,"* It is curious that it has been asserted, and still is repeated again and again in Europe, that these Black Jews are a distinct race, instead of Natives of the country, converted to the Jewish faith.",0,36
0065_the_land_of_the_perumauls_page_65.jpg,"* This appears to have been an ancient symbol, of the gift, or transfer of property.",3,15
0258_the_land_of_the_perumauls_page_258.jpg,"* History is silent respecting what became of the numerous Syriac books, the Dutch must have obtained at Cranganore; they do not ever appear to have been given to the world, and a long personal search, has proved their non-exist- ence amongst the Dutch records of Cochin.",0,46
0258_the_land_of_the_perumauls_page_258.jpg,"† It seems that after the advent of the Dutch, many institutions such as the above, on being removed to more secure territory in the Native States, took the names of their original stations with them. Consequently it does not always follow, that Roman Catholic stations whic bear certain names at the present day, are the same places, which formerly in the time of the Portuguese bore those designations.",6,68
0318_the_land_of_the_perumauls_page_318.jpg,"* Castes existed amongst the Egyptians, Medes, Persians, and others. Castes are maintained amongst some Roman Catholic congregations in Malabar to this day. (See page 231.) Caste distinctions were observed in the Tanjore and other Protestant missions, from the time of Schwartz and Gerické, it was only July 5th, 1833, that Bishop Wilson declared, that the Native Christians had not followed the advice given by his predecessors for its discontinuance, that ""in short under the name of Christianity, half the evils of Paganism are retained,"" and, that it ""must be abandoned, decidedly, immediately, finally."" In Tanjore the reading of the circular, ""was received by the Native Chris- ""tians with great displeasure, and they showed their views, by seceding in a ""body.""—PERCIVAL, Land of the Vedas.",1,124
0318_the_land_of_the_perumauls_page_318.jpg,"† In every place the above rank of castes does not hold good, thus a Nair who is a Sudra, would consider himself polluted, eating with an Oonce, who is an Amabalavassee, and wears the sacred thread. That caste is the cause of many of the evils of India, the Abbé Dubois declares to be a mistaken notion. Without caste, he believed the natives of Hindustan, would rapidly degenerate into a barbarous state : thus he held the Pariah who is without caste, as an example of how the want of it would act. The Abbé asserts, that a nation of Pariahs left to themselves, would speedily become worse than the hordes of Cannibals, that wander over the African deserts.",1,118
0064_the_land_of_the_perumauls_page_64.jpg,"* See an account by Kookel keloo Nair in an interesting paper in the Madras Quarterly Journal of Literature and Science. Referring to this subject the writer observes that the Jains, or Bhuddists, ""as a people, were settled in ""Arabia, and many visited Malabar; the original name was Mahajain, and ""became in time corrupted to Magains, or Magans. The Hindus through mis- ""take call the Mussalmen also Bhuddists, and from this arose the idea, that ""the last of the Permauls became a Mahomedan.""",4,82
0064_the_land_of_the_perumauls_page_64.jpg,"† The gowlees, (cowherds), in the Deccan, appear to belong to the same race as the people of Malabar, and have Canarese and Malayalam words, mixed up with the Mahratta.",0,29
0288_the_land_of_the_perumauls_page_288.jpg,"* Colebrooke Asiatic Researches, Vol. 8., p. 383.",3,7
0339_the_land_of_the_perumauls_page_339.jpg,"* Teers in Travancore, are said to have purchased the title of Shanars, the latter assert that previously, the Teers had stood in the same position to them,",0,27
0368_the_land_of_the_perumauls_page_368.jpg,"* Women are not a portion of the congregation, their presence being merely tolerated in a gallery, which is hardly considered a portion of the sacred building. It is said, that Jews offer up daily thanks, that they were not born of the female sex !",0,44
0368_the_land_of_the_perumauls_page_368.jpg,"† The Rev. J. Roberts, (Journal Royal Asiatie Society,) observes upon the similarity of this feast, to that obtaining amongst the Hindus when they take their principal Deitics out in procession, in their tabernacles, preceded by priests, sing- ers, musicians, and the dancing girls of the Temple. This is done to demon- strate from which god they considered they are deriving protection, or else to honour him, in hopes that he will dissipate some sickness, or avert the evil eye. The Hindu tabernacle, is properly speaking borne by priests, (although it is now mostly taken on wheels forming a car) whilst that of the Jews is directed to be carried by Levites : or should none such be present, by the highest in rank, amongst the members of the congregation. The Jews, Amos v. 26, were told, that "" ye have borne the tabernacle of your ""Moloch, and Chiun, your images, the star of your god, which ye made to ""yourselves."" This Chiun, has been by good authorities, surmised to mean",1,168
0228_the_land_of_the_perumauls_page_228.jpg,"* Official Letter from the Vicar, to the Magistrate of Cochin.",3,10
0062_the_land_of_the_perumauls_page_62.jpg,"* Chera is stated by Elphinstone, to be a small State between the territory of the Pandyas, (Madura) and the western sea: comprehending Travancore, part of Malabar, and Coimbatore. It is mentioned by Ptolemy, and may have existed at the commencement of our era. It was subdued and divided in the 10th century.",6,52
0119_the_land_of_the_perumauls_page_119.jpg,"* The Ambassador became a Christian, and was knighted, by John III of Portugal, he was Christened ""John of the Cross."" On his return to Calicut, he was banished from the Court in disgrace, as a renegade from the religion of his fathers. In 1532 he joined the Parravars and at the head of a deputation of them came to Cochin, imploring the assistance of the Portuguese, against the Moors. All the embassage, (85 souls) turned Christians. A Portuguese fleet was sent to their relief when 20,000 of them immediately consented to be baptised; ten years subsequently, Xavier organized a church for them.",4,102
0399_the_land_of_the_perumauls_page_399.jpg,* Paoli. Page 348.,3,3
0468_the_land_of_the_perumauls_page_468.jpg,"* Mr. Eliot, in the Madras Quarterly Journal, gives the size of one measur- ed by him most accurately. Height at shoulder 73 1/2: at rump 65: length from nose to insertion of tail 114 1/2: of tail 34: of dorsal ridge, including hump 40 : height of the same 4 1/2: girth behind fore legs 96: breadth of forehead 15 1/2 : between points of horn 25: circumference of neck 52: skin of neck, shoulder and thighs about 2 inches thick.",4,79
0063_the_land_of_the_perumauls_page_63.jpg,"* It is very difficult to ascertain anything respecting the accuracy of these very early dates, even when they relate to European history. Thomas Cana certified that he saw the last of the Perumauls alive in the year 345, whilst on a reference to the Brahman College at Trichoor, an answer was received, which corroborates his statement asserting that Cheraman Permaul ascended the Musnud about March 24, A.D. 341, and reigned 36 years and four months: but the date of May 378, is then given as that, at which he was last seen: making the length of his reign 37 years and two months.",4,103
0088_the_land_of_the_perumauls_page_88.jpg,"* Whilst these pages were going through the Press, the tobacco monopoly was abolished, August 15th, 1862: and a license tax, imposed in lieu of it.",0,25
0298_the_land_of_the_perumauls_page_298.jpg,"* The exact situation of the mountain Meru, has not been defined, but it is generally believed to be located to the north of Hindustan.",0,24
0298_the_land_of_the_perumauls_page_298.jpg,"† Some believe that Vishnu did not rescue the book of the Vedas, or Sacred laws, from the flood, but restored the law of nature, and the natural order and connection of the elements, which the flood had subverted.",0,38
0269_the_land_of_the_perumauls_page_269.jpg,"* Trevandrum, Government Almanac, 1861. Some Churches which have been incorrectly included, have been here expunged.",3,15
0269_the_land_of_the_perumauls_page_269.jpg,"† The Churches have been divided in the following manner: The Roman Catholics, and the Romo-Syrians, are under two distinct Missions. The Romo-Syrians and the Latin Churches, were originally under the autho- rity of the Portuguese. The Archbishop of Cranganore, receiving his instruc- tions from Goa, and having under him the two subordinate Bishops of Cochin, who were removed in 1663 to Quilon, the Churches under the latter were con- sidered to be all within sight of the sea. In 1709, they wished to join the Syrians. The Romo-Syrians, or at all events some of them, obeyed the Carmelite Vicar Apostolic, or the Verapoly Mission, which receives orders from Rome. In 1773, they erected schools for the instruction of Romo-Syrian Priests, and began to encroach considerably on the Latin Churches, then acknowledging the authority of Goa. They Syrians are ostensibly under the patriarch of Antioch, and are Monophysites, or Jacobites, with some slight differences.",1,153
0269_the_land_of_the_perumauls_page_269.jpg,"‡ Their return of Christians professing their faith, is about 228,000, but this is obviously erroneous. Their native clergy are 30, and Romo-Syrians 332.",0,23
0329_the_land_of_the_perumauls_page_329.jpg,"* The Konkanie denies that he eats fish, true he is seen constantly carrying them to his house, but he declares it to be only for the cats. It is curious that all affirm, that they keep many of these four legged animals.",0,42
0207_the_land_of_the_perumauls_page_207.jpg,* Official Report to the Judge of Malabar. Government records. M.S.S.,3,10
0027_the_land_of_the_perumauls_page_27.jpg,"* Dutch Government Records, 1743 : but still, the Paliat Achen appears to have been in some respects a vassal to the Cochin Rajah and his hereditary Minister. (cotd.) their religion: and a proclamation had stated, that the various religions were to be exercised without restraint. Checking ordeals, had therefore been a hardship, under which their religion was still suffering, and consequently an injustice: and they prayed for the removal of the prohibition on them. Sub- sequently other councils prevailed, and the petition was not presented.",4,84
0321_the_land_of_the_perumauls_page_321.jpg,"* The Abbé also tells us, that in Mysore, the internal arrangements of a Hindu, are under the control of his spiritual guide, who in cases of grave delin- quency, such as eating a porcupine, a snake, or an onion, has the power of expelling him from his caste.",0,48
0394_the_land_of_the_perumauls_page_394.jpg,"* By Sudras is meant, all castes not wearing the sacred string, including out- castes.",3,14
0172_the_land_of_the_perumauls_page_172.jpg,"* The Dutch appear to have been generally kind to their allies, when fugi- tives; thus in May 1777 the Rajah of Cranganore, was granted Rupees 50 a Month : the eldest Payencharry Nair, Rupees 30 : and from September 1777 the Prince of Cartamana, Rupees 10 a Month : the same to be continued, so long as they remained faithful.",6,57
0300_the_land_of_the_perumauls_page_300.jpg,"* After Vishnu, in the form of Rama had killed Ravana, the wife of the latter came and prayed for a blessing, and he promised she should never be a widow. Then discovering to whom he had made this promise, he directed Hunaman to constantly heap up wood on Ravana's funeral pyre, which he con- tinues until the present time. Until the fire goes out, Ravana's body cannot be considered to be consumed, and until it is, his wife is not a widow. Should a Hindu be asked for a proof of the truth of this, he directs one to place a finger in either ear, when the noise of the fire still burning may be distinctly heard.",1,117
0262_the_land_of_the_perumauls_page_262.jpg,"* Secret orders, of the Batavian Government. Government Records.",3,8
0262_the_land_of_the_perumauls_page_262.jpg,"† Memorial of Governor Moens, M.S.S. p. 308, Cochin Government Records.",3,10
0344_the_land_of_the_perumauls_page_344.jpg,"* A Blacksmith may obtain a Poonool from the Rajah, but only rich men can afford the luxury, subsequently they cannot make plough shares, carry firewood, or perform many other important offices.",0,31
0403_the_land_of_the_perumauls_page_403.jpg,"* On seeing a Christian child wearing a Cudumi, the parents were asked the reason: they replied that it was not done for caste purposes, but to keep the head warm and protect the fontanelle. Some of the Natives who dress as Eurasians, shave the back of the head and wear a skull cap.",6,53
0153_the_land_of_the_perumauls_page_153.jpg,"* In 1740, October 13th, the Dutch entered into an alliance with the Rajah of Repelim. It was under the four following heads. 1st, that he was to deli- ver up to all his pepper to the Company. 2ndly, to stop and punish all smugglers in that article. 3rdly, to give up all deserters. The Company binding them- selves to protect him, provided he entered into no wars, without obtaining their consent.",6,71
0135_the_land_of_the_perumauls_page_135.jpg,* Moens' Memorial. Dutch Government records.,3,5
0117_the_land_of_the_perumauls_page_117.jpg,"* Almeyda proposed to punish the Sultan of Egypt in a stupendous manner, that was never realizzed, viz., plundering Mecca and Medina, and sub- sequently desolating Egypt, by diverting the Nile, across Nubia, and Abyssinia to the Red Sea!",0,38
0293_the_land_of_the_perumauls_page_293.jpg,"* The ages of the world, are divided into the golden, when men lived 400 years : the silver, when they lasted 300 : the brass, when they had sank to 200 : and the iron, when a furthered reduction to 100 occurred.",0,39
0293_the_land_of_the_perumauls_page_293.jpg,"† This may be one reason, why the castes in Malabar, below the Nairs, call their silver, copper: their copper, iron, &c.",3,21
0491_the_land_of_the_perumauls_page_491.jpg,"* The Painted Snipe is found in considerable numbers, on a large tract of land, near Tellicherry, but appears rarely to go further south. It is by no means common around Cannanore. The Shikarees say that it remains all the year round. It is also found at Palanicotta.",0,47
0296_the_land_of_the_perumauls_page_296.jpg,"* Asiatic Researches, Vol. 8, page 44.",3,6
0296_the_land_of_the_perumauls_page_296.jpg,"† ""The Brahmanical worship is generally divided into the Narganey Pooja, ""and the Sarganey Pooja: or the worship of the great invisible God, and ""the worship of idols.""",0,27
0392_the_land_of_the_perumauls_page_392.jpg,"* This practice is held in the greatest detestation by the Hindus, for doing such inside the house, is considered the height of filthiness. Hindus (if high caste) can hardly be induced to touch a letter closed with a wafer, as they believe it must have been touched by the tongue.",6,50
0174_the_land_of_the_perumauls_page_174.jpg,* Hyder engaged Lally to assist him with some French troops in 1779.,3,12
0424_the_land_of_the_perumauls_page_424.jpg,"* Cope mentions, that when he was in Canara about 1714, no man was per- mitted to ride on horses, mules, or elephants, but Troopers, or Officers of State, although Europeans, were allowed to ride on oxen or buffaloes. Neither might umbrellas be carried over them by servants, but if the sun or rain offended them, they might carry them themselves. Page 300.",6,62
0341_the_land_of_the_perumauls_page_341.jpg,"* This person is believed to be moved by a spirit, and his words to have a significance none should neglect. Even women are at times supposed to be possessed with spirits, and able to foretel future events.",0,37
0025_the_land_of_the_perumauls_page_25.jpg,"* In the first eleven years 2,008 in-patients were treated and dieted within this hospital, and 9000 received advice and medicine as out-patients. Out of those treated, 123 died.",0,28
0267_the_land_of_the_perumauls_page_267.jpg,"* It must be a subject of regret, to the well wishers of a Christianity of peace and love, to perceive the virulent declamations, of some Protestants, against those in authority, whom they denounce as passively, if not actively hostile to religion. The chapter on the Dutch, shows how Christianity flourishes under hot house cultivation : and the present lamentable paucity of Protestants, in the Cochin and Travancore States, the subsequent result of such a plan.",6,74
0460_the_land_of_the_perumauls_page_460.jpg,"* The Dewan of Cochin, has kindly furnished the following return, of ani- mals, for the destruction of which rewards have been disbursed by the Cochin Sircar during the last five years, viz., 10 Tigers, 67 Cheetahs, and 6 Crocodiles, at a total cost of Rupees 408 1/2. The skins of the first two mentioned animals, are forwarded to the Cutcherry at Ernacollum, but owing to the difficulty in obtaining the rewards, and the deductions for expenses, very many no doubt are shot without their skins being brought forward, and are therefore not in- cluded in the accounts.",4,97
0245_the_land_of_the_perumauls_page_245.jpg,"* Literally Nair Priests, or aristocratic clergy : the first syllable being of Syriac origin, the second a corrpution of Nair, a Malabar name for a superior class of Sudras.",0,28
0086_the_land_of_the_perumauls_page_86.jpg,"* According to a treaty, between Mr. Van Angelbeck, Governor of Cochin and the Rajah of Cochin, dated, October 11th, 1762. Government Records of Cochin. M.S.S.",0,25
0133_the_land_of_the_perumauls_page_133.jpg,"* Moens in his Memorial says, ""the Samorin made a contract with Admiral ""Peter Willem Verhoeven, under date 16th November, 1608, when he was ""compelled by that Admiral, to besiege the town of Cochin, which was in the ""hands of the Portuguese.""",0,41
0463_the_land_of_the_perumauls_page_463.jpg,"* A Missionary in Tinnevelly informs us, that Jackalls catch crabs, by putting their own tails into the crabs’ holes, and when they feel a bite, drawing that appendage quickly up. The Cochin Jackalls, do not appear to have such a sporting turn of mind, as their Tinnevelly relatives, at least they are not reputed, to go fishing with their tails, in crabs' retreats!",6,63
0246_the_land_of_the_perumauls_page_246.jpg,"* At this period, the Romish Church acknowledged the seven sacraments, of baptism, confirmation, the eucharist, penitence, extreme unction, holy orders, and matrimony; the Syrians are said to have had only three, viz., bap- tism, the eucharist, and holy orders, and to have repudiated the idea of pur- gatory.",0,48
0427_the_land_of_the_perumauls_page_427.jpg,"* The late Rajah of Travancore, had a private museum, in which ""bonbons,"" and ""jujubes,"" held a conspicuous place. One day an advertisement in a Ma- dras newspaper caught his eye, announcing the arrival of a consignment of ""Jupons."" Concluding that they also must be something nice to eat, he order- ed a number by post. In due time they arrived, and great surprise was mani- fested when the contents were discovered to be steel crinolines. Their use was unknown, but they were placed in the museum!",4,86
0545_the_land_of_the_perumauls_page_545.jpg,"* It would be most desirable if Spiders could be safely transmitted uninjured to Europe for examination. But they loose their colour in spirit, or Glycerine and then their interest is much diminished. The numbers instead of being enu- merated by tens, and twenties, would be found to consist of hundreds.",6,50
0360_the_land_of_the_perumauls_page_360.jpg,"* The Jews of Cochin, do not appear to have strictly kept to the Mosaical law, of manumitting their slaves, after a certain number of years : or boring their ears against the door post. A person now in Cochin who was a slave, but manumitted himself, states that his father, grandfather and himself, were kept slaves, whilst he is not the only instance of this having been done.",6,67
0342_the_land_of_the_perumauls_page_342.jpg,"* If any persons use these privileges, who are unauthorized to do so, they lay themselves open to the Native penal code, and they would probably be pun- ished by hard labour on the roads.",0,34
0235_the_land_of_the_perumauls_page_235.jpg,"* The term Nestoians, is derived from Nestorius, who was consecrated Bishop of Constantinople, A.D. 429. He acknowledged the duality of persons in the Saviour of the world, and that a worshipper might unite in his adora- tions, the persons and the natures, which he separated in his Creed.",0,48
0235_the_land_of_the_perumauls_page_235.jpg,"† During the seventh century, the Moplahs oppressed the Syrians, so they retired from the Northern portions of Malabar, to the Cochin territory, choos- ing a head man or king. Subsequently owing to adoption, a Hindu prince ruled over them in temporal matters : when the Portuguese arrived, he was named Beliarte, Rajah of Diamper, and was bound to protect them against Hindus or Mahomedans, but being bankrupt, he applied to the Europeans for pecuniary assistance. The Christians were divided into two parts, the Northern or Samorin's party, denominated Panircurra, which included all",4,91
0410_the_land_of_the_perumauls_page_410.jpg,"* In some places, Shroffs, have been excepted from this rule.",3,10
0217_the_land_of_the_perumauls_page_217.jpg,"* Report of Director of Public Instruction, for 1850-60.",3,8
0068_the_land_of_the_perumauls_page_68.jpg,"* Cochin Sircar Records M.S.S., dated December 26th 1781",3,8
0454_the_land_of_the_perumauls_page_454.jpg,"* Natives frequently poison wells, by throwing in leaves of the milk hedge.",3,12
0313_the_land_of_the_perumauls_page_313.jpg,"* Forbes' Oriental Memoirs. Vol. II, p. 132.",3,7
0126_the_land_of_the_perumauls_page_126.jpg,"* Paichi Marcar a powerful Moor of Cochin, sent forces to the assistance of Bhuwaneka Bahu, VII, a Ceylon King, to aid him against the Portuguese, but they were intercepted and dispersed. In 1540, the Samorin in conjunction with this same Moor, sent further assistance to the same Ceylon King. Paichi Marcar's head, and those of his chiefs, were finally made a present to the Portu- guese, by their obliged friend the Ceylon King, who thus purchased peace for himself.",4,79
0162_the_land_of_the_perumauls_page_162.jpg,"* Dutch Government records of Cochin. M.S.S dated, March 1766.",3,9
0332_the_land_of_the_perumauls_page_332.jpg,"* The whole of the Hindu races, are divided into the northern and southern sects, said to have been by the direction of Kali, who delivered the order on copper plates at the Conjaveram Pagoda, but the plates cannot now be found. As a rule, those of different divisions do not inter-marry. The Syrians are also similarly divided.",6,57
0069_the_land_of_the_perumauls_page_69.jpg,"* In 1762, the Rajah of Cochin, mortgaged the Coosipully lands, lying north of Vypeen, to the Dutch, for Rs. 15,000, in order to meet the expenses of the small army, which in accordance with his agreement with the Rajah of Travancore, had been equipped for the field against the Samorin. If these lands were not redeemed by the Rajah before September, the Dutch were to collect the revenues.",6,68
0023_the_land_of_the_perumauls_page_23.jpg,"* Mackenzie Manuscripts, Book No. 3. Countermark 896.",3,7
0272_the_land_of_the_perumauls_page_272.jpg,"* Mullen's Missions in South India, page 130.",3,7
